Transcript,Half_Life
YAL026C,0.13535653172570528
YDR148C,0.21225930516378552
YIL125W,0.1348772127321393
YLR240W,0.20180878258522295
YCL009C,0.13686863886323644
YMR108W,0.13583116478483742
YNR044W,0.21238094845100497
YGL032C,0.21441521322670282
YMR261C,1.1238941002151417
YBR126C,1.2506598601737713
YDR074W,0.48951863439861687
YML100W,0.2125330791233866
YPL074W,0.2124085539304743
YLR102C,0.2138128440764287
YNL172W,0.1377955217299316
YDR118W,0.212712089359114
YDL008W,0.21221708676461637
YLR127C,0.2126902350726571
YBL084C,0.13622417432553202
YHR166C,0.13819042817862376
YOR249C,0.13629198150288035
YFR036W,0.13592946284885238
YKL022C,0.13561828950351984
YGL240W,0.8224277380583213
YER090W,0.1358157387148234
YKL211C,0.13511352508241198
YPL111W,0.13585051467965528
YOR303W,0.1368286139667645
YJR109C,0.13520627791381945
YPR018W,0.1369393284596671
YML102W,0.2121935024453897
YBR195C,0.13607274990054932
YDR080W,0.13607280096520957
YDL077C,0.7427234985909997
YHR060W,0.13570948779853453
YKL119C,0.1369473355712718
YKL190W,0.2122990803817672
YML057W,0.13555586663960634
YLR433C,0.13522517593073838
YIL033C,0.1359990971272166
YPL203W,0.21331194941918985
YKL166C,0.2120890868673257
YJL164C,0.2888126110997168
YHR135C,0.13599424585424313
YPL204W,0.13671675074432882
YER123W,0.2121638587441348
YOR061W,0.21291062661728338
YIL035C,0.135763718666497
YOR039W,0.13695456843130815
YGL019W,0.13612716362531657
YDR256C,0.2888126110997168
YGR088W,0.21216271321425914
YJR064W,0.13633581335072478
YJL014W,0.13638818060567348
YDR188W,0.1357635607921411
YIL142W,0.13583656315009973
YDR212W,0.8943121102392347
YJL111W,0.2121600694930244
YJL008C,0.13648489878229858
YDL143W,0.13554442779068993
YBL039C,0.21207159679682247
YAL040C,0.13806309663327015
YMR199W,0.2116287962290544
YGR109C,0.2888126110997168
YGR108W,0.13661137517276878
YPL256C,0.13713513637254404
YBR160W,0.21222283104387743
YPR119W,0.13733387847021877
YLR210W,0.2126432334446598
YPR120C,0.136899995864258
YDL155W,0.13690020546072362
YPL031C,0.1362565717596939
YDL127W,0.13658617501065995
YOL001W,0.22641150685291228
YPL219W,0.212247190280762
YNL289W,0.2888126110997168
YGL134W,0.13519122202101425
YDR443C,0.13627153520931343
YCR081W,0.1364384044067718
YNL025C,0.2116511676754218
YPL042C,0.1364712867642351
YBR149W,0.13499674754886776
YLR284C,0.2139260710407686
YDR166C,0.13539886196043602
YER008C,0.21175242971533947
YGL233W,0.13520661714215973
YLR166C,0.1355075471104274
YPR055W,0.1363390899339773
YIL068C,0.21340732343047075
YKL182W,1.1304767981172812
YPL231W,0.13579848194014688
YOR221C,0.1357198320064913
YPL262W,0.13548591915394637
YEL003W,0.13557943585676652
YNL153C,0.1372789329586815
YLR200W,0.13623174234105134
YML094W,0.1365669873458809
YGR078C,0.13650693135189812
YDL090C,0.1372388088361705
YGL155W,0.13582996203109526
YOR370C,0.21259963885734576
YJL031C,0.21259238491301818
YPR176C,0.2126342946221807
YLR342W,0.2888126110997168
YCR034W,0.13634680073460487
YGR032W,0.1356609673845799
YPR159W,0.13589056001835992
YGR143W,0.21222156546895082
YAL044C,0.137202288023609
YDR019C,0.22179176722127378
YMR189W,0.13670481130754175
YGL008C,0.1355695606068218
YEL017C-A,0.13733029393754476
YPL036W,1.5952887178246056
YCR024C-A,0.13596596558304022
YLR447C,0.1351784550347896
YBR127C,0.13550340276020617
YKL080W,0.13579806749959736
YEL027W,0.1353477790364283
YPR036W,0.13656358206612174
YHR039C-A,0.13730696242415186
YEL051W,0.13547112551074622
YGR020C,0.13543098397043116
YDL185W,0.1356696765424527
YHR026W,0.1356207180555708
YOR270C,0.13602565147212423
YPL234C,0.1358289309385376
YMR054W,0.13616272246502753
YGL253W,0.13583899835153837
YPL001W,0.13631913991036143
YEL056W,0.13587878047995808
YNL021W,0.1377139941566149
YMR263W,0.1361820188867775
YOR136W,0.1352696053792046
YNL037C,0.13638070515726364
YER065C,0.2888126110997168
YGR167W,0.13593622364661706
YGL206C,0.21183865121064482
YBR097W,0.09941204528744993
YBR080C,0.1375620546712659
YBL050W,0.13562386536101578
YKL196C,0.1358400067655426
YKR068C,0.13730440308879058
YDR472W,0.1362717642316751
